Year,GFLOPS,GDP,log_GFLOPS
1993,124,26.24,2.093421685162235
1994,170,28.0,2.230448921378274
1995,170,31.18,2.230448921378274
1996,368,31.9,2.5658478186735176
1997,1300,31.8,3.113943352306837
1998,1300,31.75,3.113943352306837
1999,2400,32.78,3.3802112417116064
2000,4900,33.9,3.6901960800285134
2001,7200,33.69,3.8573324964312685
2002,35900,34.98,4.555094448578319
2003,35900,39.22,4.555094448578319
2004,70700,44.2,4.8494194137969
2005,280600,47.86,5.4480876666923415
2006,280600,51.86,5.4480876666923415
2007,478200,58.45,5.679609571779757
2008,1100000,64.23,6.041392685158225
2009,1800000,60.89,6.2552725051033065
2010,2600000,66.71,6.414973347970818
2011,10500000,73.97,7.021189299069939
2012,17600000,75.61,7.245512667814151
2013,33900000,77.71,7.5301996982030825
2014,33900000,79.84,7.5301996982030825
2015,33900000,75.28,7.5301996982030825
2016,93000000,76.52,7.968482948553936
2017,93000000,81.48,7.968482948553936
2018,143500000,86.54,8.156851901070013
2019,148600000,87.78,8.172018809424557
2020,442000000,85.26,8.645422269349092
2021,442000000,97.53,8.645422269349092
2022,1100000000,101.33,9.041392685158225
